Address,Rooms,Price,Bedroom2,Bathroom,Landsize,YearBuilt,Regionname,Suburb,Type
85 Turner St,2,1480000,2,1,202,,Northern Metropolitan,Abbotsford,h
25 Bloomburg St,2,1035000,2,1,156,1900,Northern Metropolitan,Abbotsford,h
5 Charles St,3,1465000,3,2,134,1900,Northern Metropolitan,Abbotsford,h
40 Federation La,3,850000,3,2,94,,Northern Metropolitan,Abbotsford,h
55a Park St,4,1600000,3,1,120,2014,Northern Metropolitan,Abbotsford,h
129 Charles St,2,941000,2,1,181,,Northern Metropolitan,Abbotsford,h
124 Yarra St,3,1876000,4,2,245,1910,Northern Metropolitan,Abbotsford,h
98 Charles St,2,1636000,2,1,256,1890,Northern Metropolitan,Abbotsford,h
6/241 Nicholson St,1,300000,1,1,0,,Northern Metropolitan,Abbotsford,u
10 Valiant St,2,1097000,3,1,220,1900,Northern Metropolitan,Abbotsford,h
411/8 Grosvenor St,2,700000,2,2,0,,Northern Metropolitan,Abbotsford,u
40 Nicholson St,3,1350000,3,2,214,2005,Northern Metropolitan,Abbotsford,h
123/56 Nicholson St,2,750000,2,2,0,2009,Northern Metropolitan,Abbotsford,u
45 William St,2,1172500,2,1,195,,Northern Metropolitan,Abbotsford,h
7/20 Abbotsford St,1,441000,1,1,0,,Northern Metropolitan,Abbotsford,u
16 William St,2,1310000,2,1,238,1890,Northern Metropolitan,Abbotsford,h
42 Henry St,3,1200000,3,2,113,1880,Northern Metropolitan,Abbotsford,h
78 Yarra St,3,1176500,2,1,138,1890,Northern Metropolitan,Abbotsford,h
196 Nicholson St,3,955000,3,1,183,,Northern Metropolitan,Abbotsford,h
42 Valiant St,2,890000,2,1,150,1985,Northern Metropolitan,Abbotsford,h
3/72 Charles St,4,1330000,4,2,780,1900,Northern Metropolitan,Abbotsford,h
13/11 Nicholson St,3,900000,3,2,0,2010,Northern Metropolitan,Abbotsford,t
138/56 Nicholson St,3,1090000,3,2,4290,,Northern Metropolitan,Abbotsford,u
6/219 Nicholson St,2,500000,2,1,0,1970,Northern Metropolitan,Abbotsford,u
52a William St,2,1100000,2,2,124,2013,Northern Metropolitan,Abbotsford,h
49 Park St,2,1315000,2,1,147,1900,Northern Metropolitan,Abbotsford,h
5/20 Abbotsford St,1,426000,1,1,0,,Northern Metropolitan,Abbotsford,u
48 Abbotsford St,3,1447500,3,3,166,2012,Northern Metropolitan,Abbotsford,h
116/56 Nicholson St,1,457000,1,1,0,,Northern Metropolitan,Abbotsford,u
159 Park St,2,1135000,2,2,98,1920,Northern Metropolitan,Abbotsford,h
31 Turner St,4,1542000,4,3,0,,Northern Metropolitan,Abbotsford,h
166 Gipps St,3,1290000,3,2,147,,Northern Metropolitan,Abbotsford,h
60 Stafford St,3,1290000,3,1,168,1950,Northern Metropolitan,Abbotsford,h
11/205 Gipps St,1,470000,1,1,0,2013,Northern Metropolitan,Abbotsford,u
47 Studley St,2,1180000,2,1,162,1900,Northern Metropolitan,Abbotsford,h
45 Yarra St,3,1195000,3,2,120,1998,Northern Metropolitan,Abbotsford,h
200 Nicholson St,2,1012500,2,1,182,1900,Northern Metropolitan,Abbotsford,h
27 Charles St,2,1030000,2,1,172,1930,Northern Metropolitan,Abbotsford,h
154 Halsey Rd,3,840000,3,2,303,2016,Western Metropolitan,Airport West,t
50 Bedford St,3,730000,3,2,0,1965,Western Metropolitan,Airport West,h
50 Bedford St,3,770000,3,2,0,1965,Western Metropolitan,Airport West,h
23 Hart St,2,603000,2,1,272,1950,Western Metropolitan,Airport West,h
1/80 Hawker St,3,700000,3,2,239,2009,Western Metropolitan,Airport West,t
1/37 Hillside Gr,3,600000,2,1,290,1980,Western Metropolitan,Airport West,h
2/49 McIntosh St,2,500000,2,1,168,2011,Western Metropolitan,Airport West,u
54 Marshall Rd,3,720000,2,1,620,,Western Metropolitan,Airport West,h
36 Roberts Rd,4,785000,3,1,597,,Western Metropolitan,Airport West,h
11 Harrington Rd,6,725000,6,3,976,1980,Western Metropolitan,Airport West,h
2/252 Parer Rd,2,450000,2,1,110,2015,Western Metropolitan,Airport West,t
3/19 Hart St,2,515000,2,1,141,2013,Western Metropolitan,Airport West,u
2/62 Clydesdale Rd,2,530000,2,1,120,2012,Western Metropolitan,Airport West,u
3 Deidre Ct,3,895000,3,1,1063,1975,Western Metropolitan,Airport West,h
13 Etzel St,3,805000,3,1,0,1950,Western Metropolitan,Airport West,h
1/43 Cameron St,3,752000,3,1,265,1993,Western Metropolitan,Airport West,u
145a Victory Rd,2,440000,2,1,192,,Western Metropolitan,Airport West,u
241 Parer Rd,5,755000,3,2,596,,Western Metropolitan,Airport West,h
2/40 Earl St,3,700000,3,2,165,2009,Western Metropolitan,Airport West,t
180 Parer Rd,3,830000,3,1,971,1960,Western Metropolitan,Airport West,h
4/54 Hawker St,2,462500,2,1,164,2003,Western Metropolitan,Airport West,u
43 Hillside Gr,3,670000,3,2,657,,Western Metropolitan,Airport West,h
174 Parer Rd,2,675000,2,1,612,1975,Western Metropolitan,Airport West,h
138 Victory Rd,3,1042000,3,2,612,1950,Western Metropolitan,Airport West,h
75 King St,3,910000,3,1,775,,Western Metropolitan,Airport West,h
6 Kittyhawk St,4,773000,5,3,531,1980,Western Metropolitan,Airport West,h
478 Fullarton Rd,3,810000,3,3,555,1980,Western Metropolitan,Airport West,h
144 Marshall Rd,3,715000,3,2,422,1995,Western Metropolitan,Airport West,h
106 Parer Rd,3,790000,3,1,614,,Western Metropolitan,Airport West,h
3/7 South Rd,3,540000,2,2,161,2010,Western Metropolitan,Airport West,t
37 North St,3,825000,3,2,293,1960,Western Metropolitan,Airport West,t
10 Hilbert Rd,3,685000,3,1,579,1975,Western Metropolitan,Airport West,h
110 Halsey Rd,3,805000,3,1,623,,Western Metropolitan,Airport West,h
2/13 North St,2,510000,2,1,141,,Western Metropolitan,Airport West,u
105a Victory Rd,3,612000,3,2,212,,Western Metropolitan,Airport West,h
117 Marshall Rd,3,662000,3,1,612,,Western Metropolitan,Airport West,h
34 Moorna Dr,4,978000,4,3,532,,Western Metropolitan,Airport West,h
33 North St,3,720000,3,1,585,,Western Metropolitan,Airport West,h
49 Roberts Rd,4,765000,4,1,509,,Western Metropolitan,Airport West,h
85 Roberts Rd,4,900000,4,2,628,1975,Western Metropolitan,Airport West,h
105 Kerferd Rd,2,1275000,2,1,120,1900,Southern Metropolitan,Albert Park,h
85 Richardson St,2,1455000,2,1,159,,Southern Metropolitan,Albert Park,h
112 Beaconsfield Pde,3,2850000,3,2,211,1890,Southern Metropolitan,Albert Park,h
94 Graham St,3,1850000,3,2,128,1890,Southern Metropolitan,Albert Park,h
396 Montague St,2,1436000,2,1,130,1900,Southern Metropolitan,Albert Park,h
75 Graham St,2,1110000,1,1,147,1900,Southern Metropolitan,Albert Park,h
54 Brooke St,2,1550000,2,1,167,,Southern Metropolitan,Albert Park,h
104 Richardson St,4,2300000,4,2,153,1880,Southern Metropolitan,Albert Park,h
4a Mills St,3,1550000,3,2,718,,Southern Metropolitan,Albert Park,t
1 Moubray St,3,1800000,3,2,132,1996,Southern Metropolitan,Albert Park,h
29 Faussett St,2,2120000,2,1,199,1900,Southern Metropolitan,Albert Park,h
3 Herbert St,3,1800000,3,1,253,,Southern Metropolitan,Albert Park,h
24 Kerferd Pl,3,1800000,3,2,90,1900,Southern Metropolitan,Albert Park,h
44 Draper St,2,1810000,2,1,240,,Southern Metropolitan,Albert Park,h
2 Dundas Pl,3,2615000,3,2,177,1880,Southern Metropolitan,Albert Park,h
23 Finlay St,5,2100000,5,2,237,,Southern Metropolitan,Albert Park,h
31 Richardson St,3,1300000,3,1,129,,Southern Metropolitan,Albert Park,h
4a Gatehouse La,3,1370000,3,2,0,2000,Southern Metropolitan,Albert Park,h
60 Brooke St,2,1000000,2,1,288,,Southern Metropolitan,Albert Park,h
70 Barrett St,3,2575000,3,2,228,,Southern Metropolitan,Albert Park,h
65 Graham St,2,1322500,2,1,149,1890,Southern Metropolitan,Albert Park,h
364 Montague St,2,1562500,2,1,141,1890,Southern Metropolitan,Albert Park,h
86 Mills St,3,2000000,3,2,211,1900,Southern Metropolitan,Albert Park,h
129 Kerferd Rd,3,1900000,3,1,209,1900,Southern Metropolitan,Albert Park,h
97 Page St,3,3010000,3,2,147,1890,Southern Metropolitan,Albert Park,h
55 Withers St,4,2800000,4,3,327,1910,Southern Metropolitan,Albert Park,h
10/140 Kerferd Rd,2,647000,2,1,0,,Southern Metropolitan,Albert Park,u
